# Quantum technology companies — source of truth for the dashboard.
# Pipe-delimited (|) so "City, Country" commas are safe. Lines starting with # are ignored.
# Figures are approximate, compiled from public reporting (company press releases,
# The Quantum Insider, Crunchbase, SEC/press) as of mid-2026. Blank = undisclosed.
# total_raised_musd / valuation_musd are in millions of USD.
#
# name|domain|focus|stage|founded|hq|total_raised_musd|valuation_musd|url
IonQ|Hardware|Trapped-ion|Public|2015|College Park, USA|630|21500|https://ionq.com
Quantinuum|Hardware|Trapped-ion (full-stack)|Public|2021|Broomfield, USA|900|14000|https://quantinuum.com
PsiQuantum|Hardware|Photonic (fault-tolerant)|Series E|2016|Palo Alto, USA|2320|7000|https://psiquantum.com
D-Wave Quantum|Hardware|Annealing + gate model|Public|1999|Burnaby, Canada|450|8600|https://dwavesys.com
Rigetti Computing|Hardware|Superconducting|Public|2013|Berkeley, USA|500|7000|https://rigetti.com
SandboxAQ|Software|Post-quantum crypto + AI simulation|Series E|2022|Palo Alto, USA|950|5750|https://sandboxaq.com
Xanadu|Hardware|Photonic|Public|2016|Toronto, Canada|275|3100|https://xanadu.ai
Quantum Computing Inc|Hardware|Photonic / thermodynamic|Public|2018|Hoboken, USA|150|2200|https://quantumcomputinginc.com
Pasqal|Hardware|Neutral-atom|Pre-IPO|2019|Paris, France|160|2000|https://pasqal.com
Infleqtion|Hardware|Neutral-atom + sensing|Public|2007|Boulder, USA|550||https://infleqtion.com
IQM Quantum Computers|Hardware|Superconducting|Series B|2018|Espoo, Finland|600||https://meetiqm.com
Oxford Quantum Circuits|Hardware|Superconducting|Series C|2017|Reading, UK|400||https://oqc.tech
QuEra Computing|Hardware|Neutral-atom|Growth|2018|Boston, USA|300|1000|https://quera.com
Classiq|Software|Circuit synthesis & design|Series C|2020|Tel Aviv, Israel|210||https://classiq.io
Multiverse Computing|Software|Quantum + AI model compression|Series B|2019|San Sebastian, Spain|250|1500|https://multiversecomputing.com
Quantum Machines|Enabling|Control systems (OPX)|Series C|2018|Tel Aviv, Israel|280||https://quantum-machines.co
QuantWare|Enabling|Superconducting QPU foundry|Series B|2020|Delft, Netherlands|205||https://quantware.com
Riverlane|Software|Quantum error correction|Series C|2016|Cambridge, UK|195||https://riverlane.com
Photonic Inc|Hardware|Silicon photonic spin|Series B|2016|Vancouver, Canada|140||https://photonic.com
Alice & Bob|Hardware|Cat-qubit superconducting|Series B|2020|Paris, France|140||https://alice-bob.com
Arqit Quantum|Software|Symmetric-key quantum encryption|Public|2017|London, UK|150||https://arqit.uk
Quobly|Hardware|Silicon spin (CMOS)|Series A|2022|Grenoble, France|125||https://quobly.io
Diraq|Hardware|Silicon spin|Series A|2022|Sydney, Australia|120||https://diraq.com
Terra Quantum|Software|Algorithms / QaaS|Series B|2019|St. Gallen, Switzerland|115||https://terraquantum.swiss
Q-CTRL|Software|Control & error suppression|Series B|2017|Sydney, Australia|115||https://q-ctrl.com
Quantum Motion|Hardware|Silicon spin|Series B|2017|London, UK|110||https://quantummotion.tech
Silicon Quantum Computing|Hardware|Silicon atom qubits|Private|2017|Sydney, Australia|100||https://sqc.com.au
Quantum Art|Hardware|Trapped-ion|Series A|2022|Rehovot, Israel|100||https://quantum-art.tech
Atom Computing|Hardware|Neutral-atom|Series B|2018|Berkeley, USA|95||https://atom-computing.com
SEEQC|Hardware|Digital superconducting|Series B|2019|Elmsford, USA|85||https://seeqc.com
Oxford Ionics|Hardware|Trapped-ion (chip)|Acquired|2019|Oxford, UK|80|1080|https://oxfordionics.com
ORCA Computing|Hardware|Photonic|Series B|2019|London, UK|80||https://orcacomputing.com
Universal Quantum|Hardware|Trapped-ion (scalable)|Series A|2018|Brighton, UK|75||https://universalquantum.com
Quandela|Hardware|Photonic|Series B|2017|Massy, France|70||https://quandela.com
Qrypt|Software|Quantum-secure encryption|Series B|2018|New York, USA|65||https://qrypt.com
PQShield|Software|Post-quantum cryptography|Series B|2018|Oxford, UK|63||https://pqshield.com
Phasecraft|Software|Algorithms (materials & chemistry)|Series B|2018|London, UK|56||https://phasecraft.io
planqc|Hardware|Neutral-atom|Series A|2022|Munich, Germany|50||https://planqc.eu
Nord Quantique|Hardware|Bosonic superconducting|Seed|2020|Sherbrooke, Canada|40||https://nordquantique.ca
Quantum Brilliance|Hardware|Diamond NV (room-temp)|Series A|2019|Canberra, Australia|40||https://quantumbrilliance.com
QC Ware|Software|Algorithms (Forge)|Series B|2014|Palo Alto, USA|40||https://qcware.com
Qunnect|Enabling|Quantum networking|Series A|2017|Brooklyn, USA|40||https://qunnect.inc
Algorithmiq|Software|Algorithms (life sciences)|Series B|2020|Helsinki, Finland|36||https://algorithmiq.fi
Strangeworks|Software|Multi-vendor platform|Series A|2018|Austin, USA|34||https://strangeworks.com
Qblox|Enabling|Control electronics|Series A|2019|Delft, Netherlands|32||https://qblox.com
C12|Hardware|Carbon-nanotube spin|Series A|2020|Paris, France|30||https://c12quantum.com
